rank,release_date,source,model_type,open_source,model_size,model,screen_repr,success_rate,num_trials,pass_at_k
1,10/2025,AGI-0,AI agent,✗,-,AGI-0,Screenshot,97.4,1,
1,02/2026,MobileUseAgent,AI agent,✔,-,Seed1.8-GUI,Screenshot,97.4,1,
1,8/2025,Finalrun,AI agent,✗,-,"Gemini 3 flash, Gemini 3 flash lite",Screenshot + A11y tree,97.4,1,
4,10/2025,askui AndroidVisionAgent,AI agent,✔,-,"askui AndroidVisionAgent, Claude 4.5 Sonnet + Claude 4.0 Sonnet",Screenshot,94.8,1,
4,01/2026,AutoDevice,AI agent,✔,-,gemini 3 pro + sonnet 4.5,Screenshot,94.8,1,
6,10/2025,DroidRun,AI agent,✔,-,"GPT5, Gemini 2.5 Pro",Screenshot + A11y tree,91.4,1,
6,9/2025,mobile-use,AI agent,✔,-,"Llama 4-scout, Gemini 2.5 pro, GPT-5 nano",Screenshot + A11y tree,91.4,1,
8,12/2025,Agent-Visco,AI agent,✗,-,-,Screenshot,88.8,1,
9,10/2025,Surfer 2,AI agent,✗,-,o3 + holo1.5-72b,Screenshot,87.1,1,pass@3 93.1
10,10/2025,gbox.ai,AI agent,✔,-,Sonnet 4.5 + Sonnet 4,Screenshot,86.2,1,
11,8/2025,AutoGLM-Mobile,Model,✗,9B,AutoGLM-Mobile,Screenshot + A11y tree,80.2,1,
12,9/2025,LX-GUIAgent,AI agent,✗,-,LX-GUIAgent,Screenshot + A11y tree,79.3,1,
13,12/2025,AgentProg,AI agent,✔,-,Gemini-2.5-Pro+UI-TARS-1.5,Screenshot,78.0,1,
14,9/2025,K²-Agent,AI agent,✗,72B + 7B,Qwen2.5-VL-72B + Qwen2.5-VL-7B,Screenshot,76.7,1,
14,1/2026,MAI-UI,Model,✗,235B,MAI-UI-235B-A22B,Screenshot,76.7,,
16,9/2025,MobileUse-v2,AI agent,✔,32B,Hammer-UI-32B,Screenshot,75.0,1,
17,8/2025,Mobile-Agent-v3,AI agent,✗,32B,GUI-Owl-32B,Screenshot,73.3,1,
17,1/2026,MAI-UI,Model,✗,32B,MAI-UI-32B,Screenshot,73.3,,
19,1/2026,MAI-UI,Model,✔,8B,MAI-UI-8B,Screenshot,70.7,,
20,10/2025,Gemini 2.5 Computer Use,Model,✗,-,Gemini 2.5 Computer Use,Screenshot,69.7,1,
21,6/2025,JT-GUIAgent-V2,AI agent,✗,-,JT-GUIAgent-V2,Screenshot,67.2,1,
22,8/2025,GUI-Owl-7B,Model,✗,7B,GUI-Owl-7B,Screenshot,66.4,1,
23,8/2025,UI-Venus,Model,✔,72B,UI-Venus-Navi-72B,Screenshot,65.9,1,
24,07/2025,MobileUse,AI agent,✔,72B,Qwen2.5-VL-72B,Screenshot,62.9,1,
25,05/2025,Seed1.5-VL,Model,✔,20.B,Seed1.5-VL,Screenshot + A11y tree,62.1,1,
26,6/2025,JT-GUIAgent-V1,AI agent,✗,-,JT-GUIAgent-V1,Screenshot,60.0,1,
27,3/2025,V-Droid Paper,AI agent,✔,8B,V-Droid (Llama8B),A11y tree,59.5,1,-
28,4/2025,Agent S2,AI agent,✔,-,Agent S2,Screenshot,54.3,1,-
29,8/2025,UI-Venus,Model,✔,7B,Venus-Navi-7B,Screenshot,49.1,1,
29,1/2026,MAI-UI,Model,✔,2B,MAI-UI-2B,Screenshot,49.1,,
31,05/2025,GUI-Explorer,AI agent,✔,-,GPT-4o,Screenshot + A11y tree,47.4,1,
32,4/2025,AndroidGen,AI agent,✔,-,GPT-4o,A11y tree,46.8,1,
33,1/2025,UI-TARS,Model,✔,72B,UI-TARS,Screenshot,46.6,1,-
34,12/2024,Aria-UI,Model,✔,-,GPT-4o + Aria-UI,Screenshot,44.8,1,-
35,4/2025,ScaleTrack,Model,✗,8B,ScaleTrack-7B,A11y tree,44.0,1,
35,1/2025,UGround,Model,✔,-,GPT-4o + UGround,Screenshot,44.0,1,-
37,6/2025,Mirage-1,AI agent,✔,-,GPT-4o,Screenshot,42.2,1,
38,12/2024,Ponder & Press,AI agent,✗,-,GPT-4o,Screenshot,34.5,1,-
39,05/2024,AndroidWorld,AI agent,✔,-,GPT-4 Turbo,A11y tree,30.6,1,-
40,6/2025,GUI-Critic-R1,Model,✔,7B,Qwen-2.5-VL-7B,Screenshot + A11y tree,27.6,1,
40,05/2024,EcoAgent,AI agent,✗,-,"GPT-4o, OS-Atlas-Pro 4B, Qwen2-VL-2B-Instruct",Screenshot,27.6,1,
42,1/2025,InfiGUIAgent,Model,✔,2B,Qwen2-VL-2B (fine-tuned),Screenshot,9.0,1,-
